,ID,True density (gcm-3),SA (m2g-1),H/C,Temp (C),True density (kgm-3),Hold time (min),Yield (%),Moisture (%),Ash (%),C (%),H (%),N (%),O (%),O/C,NMR aromaticity (%),NMR delta (ppm),VM (%),FC (%),Porosity (%),pH
419,"Pine 750 10 min Residence Time-Ronsse et al., GCB Bioenergy 5 (2013) 104-115",,128,0.181621622,750,,,,,1.1,92.5,1.4,,,,,,2.6,96.3,,10.2
420,R1000/F750,1.76,400,0.0215,750,1760,30,,,,,,,,,,,,,,
421,"FC biochar-Butnan, S., et al. Geoderma 237-238 (2015) 105-116.",,,,800,,,,,3.85,81.5,,,,,,,14.65,81.5,,8.92
422,Chestnut Wood,1.8863,,0.08,800,1886.3,300,,,,,,,,0.02,100,7.6,,,,
423,"DPBC800-Usman, A.R.A., et al. Journal of Analytical and Applied Pyrolysis 115 (2015) 392-400.",,,0.138282192,800,,,,2.09,21.39,74.63,0.86,0.31,2.27,0.022812542,,,3.91,74.7,,11.49
424,tintner800,1.866225166,122.7365584,0.068092327,800,1866.225166,240,,,,93.17365269,0.528700906,,,,,,,,,
425,tintner800,1.818543046,119.2668452,0.059011052,800,1818.543046,240,,,,94.61077844,0.465256798,,,,,,,,,
426,"AT 800-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,545.43,0.084865629,800,,,,,,84.84,0.6,0.34,5.81,0.051361386,,,6.82,,,10.02
427,"OT 800-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,398.15,0.09993965,800,,,,,,82.85,0.69,0.32,17.29,0.156517803,,,7.87,,,9.68
428,"Aspidosperma australe 850-Spokas,  Carbon Manage. 1 (2010) 289-303.",,3,0.168103448,850,,,,,7.2,92.8,1.3,0.8,5.1,0.041217672,,,8.1,84.7,,
429,"Oak 850-Cheah, S et al., Environmental Science & Technology 48, 15 (2014) 8474-8480.",,,0.171651495,850,,,,0.3,,76.9,1.1,0.2,,,,,,,,
430,"Aspidosperma quebracho 'Blanco Schlecht' 850-Spokas,  Carbon Manage. 1 (2010) 289-303.",,2,0.110882957,850,,,,,4.3,97.4,0.9,1.2,0.5,0.003850103,,,14.6,81.1,,
431,RG850,,,,850,,60,,,7.2,79.7,,,,,83,8.1,,,,
433,R1000/F850,1.95,400,0.0116,850,1950,30,,,,,,,,,,,,,,
434,"RW 850-Ghani, W. A. W. A. K. et al., Industrial Crops and Products 44 (2013) 18-24.",,,0.167023555,850,,,,,20,93.4,1.3,0.1,0.5,0.004014989,,,,,,
436,"FW 900-Zhang, J et al., Journal of Environmental Sciences 26, 2 (2014) 390-397.",,,0.467532468,900,,,,,5.49,83.16,3.24,0.4,7.24,0.065295815,,,,,,
437,"PPPR 900-Marks, E. N et al., Plant and Soil (2014) 1-19.",,,0.089539631,900,,,,,,71.03,0.53,0.12,8.7,0.091862593,,,,,,11.42
438,Chestnut Wood,1.9601,,0.04,900,1960.1,300,,,,,,,,0.02,100,9.1,,,,
439,solar900,1.798,491,0,900,1798,,,1,3,99.1,0.2,0.1,0.6,0.004540868,,,5.4,90.6,74.14,
440,"Pine bark 950-Kastner, J. R et al., Fuel Processing Technology 130 (2015) 31-37.",,330,0.068027211,950,,,,,,88.2,0.5,1.05,,,,,,,,
441,"Beech sawdust 1000-Spokas,  Carbon Manage. 1 (2010) 289-303.",,,0.03164557,1000,,,,,,94.8,0.25,,1.03,0.008148734,,,1.3,,,
442,tintner1000,1.997350993,149.1840813,0,1000,1997.350993,240,,,,94.79041916,0,,,,,,,,,
443,tintner1000,1.977483444,131.2068934,0,1000,1977.483444,240,,,,95.68862275,0,,,,,,,,,
444,R30/F1000,1.97,3.52,,1000,1970,30,,,,,,,,,,,,,,
445,R350/F1000,2,75,0.0077,1000,2000,30,,,,,,,,,,,,,,
446,R500/F1000,2.01,160,0.0092,1000,2010,30,,,,,,,,,,,,,,
447,R650/F1000,2,275,0.0094,1000,2000,30,,,,,,,,,,,,,,
448,Chestnut Wood,1.9853,,0.03,1000,1985.3,300,,,,,,,,0.02,100,10.1,,,,
449,R750/F1000,2.01,336,0.0098,1000,2010,30,,,,,,,,,,,,,,
450,R1000/F1000,2.01,333,0.0107,1000,2010,30,,,,,,,,,,,,,,
451,R200/F1000,1.98,3.94,0.007,1000,1980,30,,,,,,,,,,,,,,
452,tintner1200,1.993377483,193.207327,0,1200,1993.377483,240,,,,97.1257485,0,,,,,,,,,
453,tintner1200,1.953642384,258.3531837,0,1200,1953.642384,240,,,,93.53293413,0,,,,,,,,,
454,tintner1300,2.013245033,226.5402738,0,1300,2013.245033,240,,,,94.79041916,0,,,,,,,,,
455,tintner1300,1.937748344,259.4262068,,1300,1937.748344,240,,,,,0,,,,,,,,,
456,"Willow B-Agegnehu, G., et al. Agriculture, Ecosystems and Environment 213 (2015) 72-85.",,,,,,,,,,47.5,,0.38,,,,,,,,8.3
457,"Wood1-Major et al., Plant Soil 333 (2010) 117-128",,,0.241152263,,,,,,4.6,72.9,1.465,0.76,18.9,0.194444444,,,,,,
458,"Oak-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,153.1,0.347727273,,,,,,2.8,88,2.55,0.44,14.81,0.126221591,,,,,,9.5
459,"HW-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,154.4,0.333021077,,,,,,5.5,85.4,2.37,0.55,8.85,0.077722482,,,,,,8.8
460,"Cottonwood-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,300,0.238545455,,,,,,4.2,82.5,1.64,0.49,5.61,0.051,,,,,,9.5
461,"Woody Waste-Peterson, S. Journal of Elastomers and Plastics 45, 5 (2013) 487-497. ",,,0.446938776,,,,,,2.7,78.4,2.92,0.2,15.78,0.150956633,,,,,,
462,"Oak+Hickory1-Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193",,19.2,0.382054993,,,,,,14.1,69.1,2.2,0.7,9.3,0.100940666,,,,,,
463,"Wood Pellets 600-Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193",,24,0.573913043,,,,,,6,69,3.3,0.2,20,0.217391304,,,12,82,,
464,PW-350,,146,,,,,,,,70.5,,,23.15,0.246276596,,,,,71,8.2
465,PW-600,,500,,,,,,,,87.8,,,7.06,0.060307517,,,,,78,8.79
466,PB-350,,172,,,,,,,,66.07,,,23.67,0.268692296,,,,,64,7.88
467,PB-600,,424,,,,,,,,78.11,,,8.98,0.086224555,,,,,68,10.19
468,HP-350,,208,,,,,,,,69.91,,,20.86,0.223787727,,,,,69,10
469,HP-600,,417,,,,,,,,83.07,,,6.84,0.061755146,,,,,81,10.41
470,Pusceddu BC300,,,0.703448276,,,,,,0.47,58,3.4,2.5,35.7,0.461637931,,,,,,
471,Pusceddu BC400,,,0.48,,,,,,0.75,62.5,2.5,3.25,31.1,0.3732,,,,,,
472,Pusceddu BC500,,,0.28748068,,,,,,0.54,64.7,1.55,3.75,29.5,0.341962906,,,,,,
473,Pusceddu BC600,,,0.200992556,,,,,,0.33,80.6,1.35,4.05,13.7,0.12748139,,,,,,
474,Pusceddu BC650,,,0.111924439,,,,,,0.28,84.7,0.79,4.7,9.78,0.086599764,,,,,,
475,BE350,,2.72,0.07,,,,52.1,,,68.46,4.5,0.33,26.71,0.39,,,,,,
476,BE450,,4.9,0.06,,,,34.3,,,70.9,3.94,0.25,24.91,0.35,,,,,,
477,BE550,,9.21,0.05,,,,31,,,73.75,3.63,0.25,22.38,0.3,,,,,,
