,ID,True density (gcm-3),SA (m2g-1),H/C,Temp (C),True density (kgm-3),Hold time (min),Yield (%),Moisture (%),Ash (%),C (%),H (%),N (%),O (%),O/C,NMR aromaticity (%),NMR delta (ppm),VM (%),FC (%),Porosity (%),pH
186,"WS 500-Lee, Y et al., Bioresource Technology 148 (2013) 196-201.",,316,0.345314075,500,,,,1.46,2.28,89.31,2.57,0.78,7.34,0.061639234,,,12.79,84.93,,9.5
187,"PP 500-Kim et al., Bioresource Technology 118 (2012) 158-162",,175.4,0.331491713,500,,,,,7.7,90.5,2.5,0.3,6.7,0.055524862,,,,,,
188,"Sawdust 500-Zhao, L et al., Chemical Engineering Journal 250 (2014) 240-247.",,203,1.271240106,500,,,,,,75.8,8.03,0.296,8.42,0.083311346,,,,,,
189,"HW 500-Weyers, S. L et al., Solid Earth Discuss., 6 (2014) 599-617.",,,,500,,,,,,63.8,,0.2,,,,,26.1,,,
190,"Pine 500-Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.",,,0.395192308,500,,,,,2.37,83.2,2.74,,4.05,0.036508413,,,11.67,85.96,,
191,"YP 500-Hwang, H et al., Journal of Analytical and Applied Pyrolysis (2014).",,,0.50928382,500,,,,,,75.4,3.2,0.5,20.9,0.207891247,,,,,,
192,"HW 500-Schomberg et al., joenq 41 (2012) 1087-1095",,1.28,0.574647887,500,,,,,8.6,71,3.4,0.3,16.3,0.172183099,,,33.7,57.7,,5.7
193,"HWM 500-Rutigliano, F. A et al., European Journal of Soil Biology 60 (2014) 9-15.",,,,500,,,,,,84,,1.2,,,,,,,,7.2
194,"BW 500-Prommer, J et al., PLoS ONE 9, 1 (2014).",,,0.239103362,500,,,,,15.2,80.3,1.6,0.4,9.88,0.092278954,,,11.1,73.7,,
195,"FC 500-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,224.4,0.370778443,500,,,,,3.33,83.5,2.58,0.49,13.41,0.120449102,,,,,,10
196,"Hardwood sawdust 500-Spokas,  Carbon Manage. 1 (2010) 289-303.",,10,0.537313433,500,,,,,15,67,3,0.3,13,0.145522388,,,29,56,,
197,"HW 500-Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.",,,,500,,,,,,86.4,,,20.4,0.177083333,,,,,,
199,"Mixed Softwood-Enders et al., Bioresource Technology 114 (2012) 644-653.  ",,,,500,,,,,5.6,,,,,,,,45.5,48.9,,
200,"Mixed Woodships-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,,500,,,,,10.9,85.9,,0.4,,,,,26.9,62.2,,7.9
201,"SPS500-Ozbay, G., et al. ResearchGate (2015) 181-185.",,,0.405241935,500,,,,,,79.36,2.68,0.13,17.83,0.168504284,,,,,,
202,"PiS-Ojeda, Gerardo, et al. Geoderma 249-250 (2015) 1-11.",,,,500,,,,,,,,,,,,,,,,7.1
203,"PS 500-Tammeorg, P et al., Plant and Soil 374, 1-2 (2014) 89-107.",,34.1,,500,,,,,10.41,87.8,,0.62,,,,,26.82,62.77,,10.8
204,"Mixed Hardwood -Enders et al., Bioresource Technology 114 (2012) 644-653.",,,,500,,,,,4.3,,,,,,,,56.8,38.9,,
205,"PoS-Ojeda, Gerardo, et al. Geoderma 249-250 (2015) 1-11.",,,,500,,,,,,,,,,,,,,,,8.3
206,"Pine 2-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,,500,,,,,,,,,,,,,,,,
207,"Pine 500-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.417266187,500,,,,,1,83.4,2.9,0.1,12.6,0.113309353,,,37,62,,5.6
208,"Oak 500-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.365767878,500,,,,,3.7,85.3,2.6,0.2,9.6,0.084407972,,,30.7,65.6,,5.8
209,"DPBC500-Usman, A.R.A., et al. Journal of Analytical and Applied Pyrolysis 115 (2015) 392-400.",,,0.350207469,500,,,,2.96,19.68,72.3,2.11,0.42,4.5,0.046680498,,,9.31,71.01,,9.59
212,"Ponderosa pine shavings5-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,196,0.518681319,500,,,,,2.1,81.9,3.54,0.08,14.5,0.132783883,,,25.2,72.7,,
213,WI-550,,149,0.530973451,500,,,28.8,,7.5,79.1,3.5,1.7,8.2,0.077749684,,,,,,8.6
214,"PC 500-Ameloot, N et al., GCB Bioenergy (2013).",,22.77,0.455268633,500,,,,,1.11,81.71,3.1,0.22,8.76,0.080406315,,,19,79.89,,
215,W500,,196,0.52,500,,60,28.4,,2.1,81.9,3.54,0.08,14.5,0.13,,,25.2,72.7,,
216,Pinus halepensis 500-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.4400978,500,,,,,1.7,81.8,3,0.2,13.4,0.122860636,,,20.2,78.1,,
217,Quercus rotundifolia 500-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.361445783,500,,,,,2.8,83,2.5,0.6,11.2,0.101204819,,,17.5,79.7,,
218,1,,,,500,1465,15,35.4,4.5,0.33,,,,,,,,21.7,78,,
219,2,,,,500,1455,15,34.8,3.2,0.44,,,,,,,,21.3,78.3,,
220,3,,,,500,1453,15,34,2.5,0.32,,,,,,,,18.8,80.9,,
221,4,,,,500,1476,15,31.7,1.7,0.98,,,,,,,,12.5,86.5,,
222,"HW 500-Ameloot, N et al., Soil Biology and Biochemistry 78 (2014) 195-203.",,,,500,,,,,,81,,0.37,,,,,,,,
223,5,,,,500,1446,15,33,1.8,0.56,,,,,,,,13.7,85.7,,
224,6,,,,500,1461,15,32.7,1.3,0.56,,,,,,,,12.3,87.1,,
225,Pine Wood,1.4281,,0.52,500,1428.1,60,,,,,,,,0.13,90,1.1,,,,
226,G500,,50,0.48,500,,60,31.4,,15.4,82.2,3.32,1.09,13.4,0.12,,,20.3,64.3,,
227,7,,,,500,1456,15,33,2.7,0.35,,,,,,,,16.1,83.6,,
228,8,,,,500,1404,15,33,1.3,0.14,,,,,,,,16.6,83.3,,
229,Chestnut Wood,1.4763,,0.36,500,1476.3,300,,,,,,,,0.08,93,2,,,,
231,9,,,,500,1443,15,32.9,1.7,0.33,,,,,,,,14.7,85,,
232,solar500,1.372,250,0.2,500,1372,,,4.2,3,90.3,1.8,0.2,7.9,0.065614618,,,24.8,68.1,67.86,
233,S500N2R,,221,0.428571429,500,,,22.5,,,84,3,,9.4,0.083928571,,,,,,
234,"SW 500-Borchard, N ET al., Soil and Tillage Research 144 (2014) 184-194.",,,0.587169811,500,,,,,,79.5,3.89,0.2,13.3,0.125471698,,,,,,4.2
235,12,,,,500,1470,15,32.6,1.8,0.39,,,,,,,,13.1,86.5,,
236,"Cellulose2-Argudo et al., Carbon 36, 7-8 (1998) 1027-1031",,292,0.433242507,500,,,,,0,88.08,3.18,0.08,8.66,0.073739782,,,,,,
237,"Brachystegia sp. 350-Alling, V et al., Journal of Plant Nutrition and Soil Science 177, 5 (2014) 671-680.",,,,500,,,,,,,1.99,0.77,,,,,,,,7.9
238,"Wood 500-Anjum, R et al., Ecotoxicology and Environmental Safety 107 (2014) 306-312.",,,,500,,,,,4.2,,,,,,,,,,,8
239,"oak 500-Cheah, S et al., Environmental Science & Technology 48, 15 (2014) 8474-8480.",,,0.409257004,500,,,,,4.5,82.1,2.8,0.3,,,,,23.6,71.9,,
240,"HW 500-Chen, C.-P et al., Geoderma 232-234 (2014) 581-588.",,,,500,,,,,25,,0.8,3.4,11.3,,,,,,,10.7
241,"PW 510-Marks, E. N et al., Plant and Soil (2014) 1-19.",,,0.536725482,510,,,,,,73.11,3.27,0.35,18.8,0.192860074,,,,,,8.14
242,"Wood feedstock (510)-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,165.8,0.268891538,510,,,,,3,83.9,1.88,0.36,19.82,0.177175209,,,,,,7.3
243,"CE-WP1-Yargicoglu, E.N. et al. Waste Management 36 (2015) 256-68.",,0.38,0.644978784,520,,,,1.38,4.6,70.7,3.8,0.3,,,,,,,,6.24
244,"Charcoal Green-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,164.1,0.295532646,520,,,,,5,87.3,2.15,0.59,7.4,0.063573883,,,,,,9.2
245,"CE-AWP-Yargicoglu, E.N. et al. Waste Management 36 (2015) 256-68.",,,0.276568502,520,,,,1.98,4.3,78.1,1.8,0.4,,,,,,,,7.64
247,"CE-WP2-Yargicoglu, E.N. et al. Waste Management 36 (2015) 256-68.",,0.1,0.616216216,520,,,,2.15,1.5,74,3.8,0.3,,,,,,,,6.78
248,R200/F525,1.4,310,0.0334,525,1400,30,,,,,,,,,,,,,,
249,R650/F525,1.41,250,0.0348,525,1410,30,,,,,,,,,,,,,,
250,R30/F525,1.4,310,,525,1400,30,,,,,,,,,,,,,,
251,"Bubinga 525-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,500.9,,525,,,,,1.2,,,,11.4,,,,35,63.8,,
252,"Loblolly Pine 525-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,206.1,,525,,,,,1.2,,,,14,,,,25.7,73.1,,
253,"Laurel Oak 525-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,38.2,,525,,,,,6.8,,,,21.7,,,,36.4,56.8,,
254,"Eastern Red Cedar 525-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,386.5,,525,,,,,1.3,,,,11.3,,,,39.1,59.6,,
255,R1000/F525,1.42,210,0.0364,525,1420,30,,,,,,,,,,,,,,
256,"Hardwood char 538-Spokas,  Carbon Manage. 1 (2010) 289-303.",,7,0.296774194,538,,,,,27,93,2.3,0.7,2,0.016129032,,,,,,
258,"HW 538-Weyers, S. L et al., Solid Earth Discuss., 6 (2014) 599-617.",,,,538,,,,,,88.3,,0.3,,,,,32.5,,,
259,"HW 540-Cabrera, A et al., Science of The Total Environment 470–471 (2014) 438-443.",,,,540,,,,,,73.3,,0.3,,,,,,,,6.6
260,"POH-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.684283727,550,,,,,4,71.9,4.1,0.6,19.3,0.20132128,,,,,,8
261,"Willow 550-Nelissen, V et al., Agronomy 4 (2014) 52-73.",,,0.271147161,550,,,,3.2,3.2,86.3,1.95,0.85,7.7,0.066917729,,,6.7,90.1,,7.5
262,"PW 550-Alburquerque, J.A., et al. Journal of Cleaner Production 120 (2016) 191-197.",,399,,550,,,,4.27,2.48,,,0.4207,,,,,13.17,84.35,,8.2
263,"POSA-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.87327478,550,,,,,3.6,79.7,5.8,1,9.7,0.091279799,,,,,,8.9
264,"POA-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.655834564,550,,,,,13.2,67.7,3.7,1.5,13.6,0.150664697,,,,,,9
265,S Grass 550,1.610160428,97.2027972,0.31,550,1610.160428,240,28.3,0,6.6,81.8,2.1,0.5,9,0.08,,,,,,
266,"RPSA-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.46993007,550,,,,,7.7,71.5,2.8,1.5,16.4,0.172027972,,,,,,9.8
267,"RPA-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.693823916,550,,,,,4.6,76.1,4.4,2,12.7,0.125164258,,,,,,8.5
268,"YP 550-Hwang, H et al., Journal of Analytical and Applied Pyrolysis (2014).",,,0.448318804,550,,,,,,80.3,3,0.5,16.2,0.151307597,,,,,,
269,S Wood 550,1.517112299,74.12587413,0.36,550,1517.112299,240,34.2,2.9,6.1,79.8,2.4,1.3,10.4,0.1,,,,,,
270,"PPPR 550-Marks, E. N et al., Plant and Soil (2014) 1-19.",,,0.274055182,550,,,,,,86.26,1.97,0.12,9.1,0.079121261,,,,,,7.29
271,"PW 550-Marks, E. N et al., Plant and Soil (2014) 1-19.",,,0.306401875,550,,,,,,81.07,2.07,0.48,12.3,0.113790551,,,,,,8.21
272,"Mixed woodchip 550-Spokas,  Carbon Manage. 1 (2010) 289-303.",,66,0.573839662,550,,,,,4.8,71.1,3.4,0.11,20.6,0.217299578,,,33.6,61.6,,
273,"EC 550-Madari, B. E et al., Functions of Natural Organic Matter in Changing Environment (2013) 1003-1006.",,,,550,,,,,,77,,0.3,,,,,,,,
274,"Eucalyptus saligna wood2-Singh et al., Australian J. Soil Research 48 (2010) 516-525",,,,550,,,,,4.4,79.2,,0.23,,,,,,,,9.5
275,"RPH-Yang, F., et al. Chinese Journal of Geochemistry 34(4) (2015) 592-600.",,,0.629213483,550,,,,,7.1,80.1,4.2,1.6,6.9,0.064606742,,,,,,10.6
276,"Eucalyptus saligna wood4-Singh et al., Australian J. Soil Research 48 (2010) 516-525",,,,550,,,,,4.4,83.6,,0.26,,,,,,,,8.8
277,"PW 550-Alburquerque, J. A et al., Environmental Pollution 196 (2015) 72-77.",,399,,550,,,,,2.48,,,0.42,,,,,13.17,84.35,,8.24
278,"Pine 550 -Nelissen, V et al., Agronomy 4 (2014) 52-73.",,,0.279039301,550,,,,3.3,1,91.6,2.13,0.19,5.08,0.041593886,,,7.3,91.7,,6.8
279,Pinus halepensis 550-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.348432056,550,,,,,1.7,86.1,2.5,0.2,9.6,0.083623693,,,18.1,80.2,,
280,Quercus rotundifolia 550-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.33065442,550,,,,,3.1,87.1,2.4,0.5,6.9,0.059414466,,,14.7,82.2,,
281,"PC 550-Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.",,235,,550,,,,,7.5,77.7,,0.61,,,,,,,,9.8
282,"Pine 550-5-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.209496275,550,,,,,4.2,89.93,1.57,0,8.5,0.070888469,,,22,73.8,,
283,PO-550,,55,0.569920844,550,,,26.9,,6.5,75.8,3.6,1.1,13,0.128627968,,,,,,8.8
284,"ES 550-Fang, Y et al., Agriculture, Ecosystems & Environment 191 (2014) 158-167.",,,,550,,,,,7,,,,,,,,,,,9.96
